workout_date,workout_type,title,notes,source_file,record_index,timestamp,elapsed_seconds,distance_m,heart_rate,power,cadence,speed,altitude,latitude,longitude
2026-05-31,Running,Sunday Morning Run,"Last week there was an interruption in routine due to travel but today I continued it. Felt lighter during whole run, which indicates an improvement in stamina. Overall very satisfied.",2026-05-31_09-26-52_hk_1780212412.fit,1,2026-05-31T07:26:53.000Z,0.000,3.67,,59,,,30.05,50.820534,4.402962
2026-05-31,Running,Sunday Morning Run,"Last week there was an interruption in routine due to travel but today I continued it. Felt lighter during whole run, which indicates an improvement in stamina. Overall very satisfied.",2026-05-31_09-26-52_hk_1780212412.fit,2,2026-05-31T07:26:54.000Z,1.000,5.53,,59,,,30.01,50.820516,4.40298
2026-05-31,Running,Sunday Morning Run,"Last week there was an interruption in routine due to travel but today I continued it. Felt lighter during whole run, which indicates an improvement in stamina. Overall very satisfied.",2026-05-31_09-26-52_hk_1780212412.fit,3,2026-05-31T07:26:55.000Z,2.000,7.39,,59,49,,29.98,50.820516,4.402998
2026-05-31,Running,Sunday Morning Run,"Last week there was an interruption in routine due to travel but today I continued it. Felt lighter during whole run, which indicates an improvement in stamina. Overall very satisfied.",2026-05-31_09-26-52_hk_1780212412.fit,4,2026-05-31T07:26:56.000Z,3.000,9.25,,71,49,,29.94,50.820498,4.403016
2026-05-31,Running,Sunday Morning Run,"Last week there was an interruption in routine due to travel but today I continued it. Felt lighter during whole run, which indicates an improvement in stamina. Overall very satisfied.",2026-05-31_09-26-52_hk_1780212412.fit,5,2026-05-31T07:26:57.000Z,4.000,11.77,,71,49,,29.92,50.82048,4.403034
2026-05-31,Running,Sunday Morning Run,"Last week there was an interruption in routine due to travel but today I continued it. Felt lighter during whole run, which indicates an improvement in stamina. Overall very satisfied.",2026-05-31_09-26-52_hk_1780212412.fit,6,2026-05-31T07:26:58.000Z,5.000,14.3,,71,54,,29.89,50.820462,4.403052
2026-05-31,Running,Sunday Morning Run,"Last week there was an interruption in routine due to travel but today I continued it. Felt lighter during whole run, which indicates an improvement in stamina. Overall very satisfied.",2026-05-31_09-26-52_hk_1780212412.fit,7,2026-05-31T07:26:59.000Z,6.000,16.82,,271,54,,29.88,50.820444,4.40307
2026-05-31,Running,Sunday Morning Run,"Last week there was an interruption in routine due to travel but today I continued it. Felt lighter during whole run, which indicates an improvement in stamina. Overall very satisfied.",2026-05-31_09-26-52_hk_1780212412.fit,8,2026-05-31T07:27:00.000Z,7.000,21.56,,271,54,,29.87,50.820426,4.403088
2026-05-31,Running,Sunday Morning Run,"Last week there was an interruption in routine due to travel but today I continued it. Felt lighter during whole run, which indicates an improvement in stamina. Overall very satisfied.",2026-05-31_09-26-52_hk_1780212412.fit,9,2026-05-31T07:27:01.000Z,8.000,26.3,,183,62,,29.86,50.820408,4.403106
2026-05-31,Running,Sunday Morning Run,"Last week there was an interruption in routine due to travel but today I continued it. Felt lighter during whole run, which indicates an improvement in stamina. Overall very satisfied.",2026-05-31_09-26-52_hk_1780212412.fit,10,2026-05-31T07:27:02.000Z,9.000,29.11,,183,62,,29.86,50.82039,4.403124
