workout_date,workout_type,title,notes,source_file,record_index,timestamp,elapsed_seconds,distance_m,heart_rate,power,cadence,speed,altitude,latitude,longitude
2026-09-25,Running,Morning Run,After resolving a big conflict in my schedule its good to go for a run. Now I am allowed to write during working hours so no more early morning writing. That means I can focus on running. :),2026-09-25_08-23-26_hk_1790317406.fit,1,2026-09-25T06:23:28.000Z,0.000,0.72,,,,,30.19,50.82057,4.403106
2026-09-25,Running,Morning Run,After resolving a big conflict in my schedule its good to go for a run. Now I am allowed to write during working hours so no more early morning writing. That means I can focus on running. :),2026-09-25_08-23-26_hk_1790317406.fit,2,2026-09-25T06:23:29.000Z,1.000,1.3,,,,,30.14,50.82057,4.403106
2026-09-25,Running,Morning Run,After resolving a big conflict in my schedule its good to go for a run. Now I am allowed to write during working hours so no more early morning writing. That means I can focus on running. :),2026-09-25_08-23-26_hk_1790317406.fit,3,2026-09-25T06:23:30.000Z,2.000,1.88,85,,,,30.1,50.82057,4.403106
2026-09-25,Running,Morning Run,After resolving a big conflict in my schedule its good to go for a run. Now I am allowed to write during working hours so no more early morning writing. That means I can focus on running. :),2026-09-25_08-23-26_hk_1790317406.fit,4,2026-09-25T06:23:31.000Z,3.000,2.46,85,,,,30.05,50.82057,4.403106
2026-09-25,Running,Morning Run,After resolving a big conflict in my schedule its good to go for a run. Now I am allowed to write during working hours so no more early morning writing. That means I can focus on running. :),2026-09-25_08-23-26_hk_1790317406.fit,5,2026-09-25T06:23:32.000Z,4.000,3.04,85,,,,30.01,50.82057,4.403124
2026-09-25,Running,Morning Run,After resolving a big conflict in my schedule its good to go for a run. Now I am allowed to write during working hours so no more early morning writing. That means I can focus on running. :),2026-09-25_08-23-26_hk_1790317406.fit,6,2026-09-25T06:23:33.000Z,5.000,3.62,85,,,,29.97,50.82057,4.403124
2026-09-25,Running,Morning Run,After resolving a big conflict in my schedule its good to go for a run. Now I am allowed to write during working hours so no more early morning writing. That means I can focus on running. :),2026-09-25_08-23-26_hk_1790317406.fit,7,2026-09-25T06:23:34.000Z,6.000,4.2,85,,,,29.94,50.82057,4.403142
2026-09-25,Running,Morning Run,After resolving a big conflict in my schedule its good to go for a run. Now I am allowed to write during working hours so no more early morning writing. That means I can focus on running. :),2026-09-25_08-23-26_hk_1790317406.fit,8,2026-09-25T06:23:35.000Z,7.000,4.78,82,,,,29.91,50.82057,4.403142
2026-09-25,Running,Morning Run,After resolving a big conflict in my schedule its good to go for a run. Now I am allowed to write during working hours so no more early morning writing. That means I can focus on running. :),2026-09-25_08-23-26_hk_1790317406.fit,9,2026-09-25T06:23:36.000Z,8.000,5.36,82,,82,,29.89,50.820552,4.40316
2026-09-25,Running,Morning Run,After resolving a big conflict in my schedule its good to go for a run. Now I am allowed to write during working hours so no more early morning writing. That means I can focus on running. :),2026-09-25_08-23-26_hk_1790317406.fit,10,2026-09-25T06:23:37.000Z,9.000,5.94,82,,82,,29.87,50.820552,4.40316
2026-09-25,Running,Morning Run,After resolving a big conflict in my schedule its good to go for a run. Now I am allowed to write during working hours so no more early morning writing. That means I can focus on running. :),2026-09-25_08-23-26_hk_1790317406.fit,11,2026-09-25T06:23:38.000Z,10.000,8.04,82,,82,,29.86,50.820534,4.403178
2026-09-25,Running,Morning Run,After resolving a big conflict in my schedule its good to go for a run. Now I am allowed to write during working hours so no more early morning writing. That means I can focus on running. :),2026-09-25_08-23-26_hk_1790317406.fit,12,2026-09-25T06:23:39.000Z,11.000,10.15,82,,78,,29.85,50.820516,4.403196
