workout_date,workout_type,title,notes,source_file,record_index,timestamp,elapsed_seconds,distance_m,heart_rate,power,cadence,speed,altitude,latitude,longitude
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,1,2026-04-25T07:17:54.000Z,0.000,1,,,,,29.71,50.820444,4.403088
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,2,2026-04-25T07:17:55.000Z,1.000,2.14,,,,,29.71,50.820426,4.403106
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,3,2026-04-25T07:17:56.000Z,2.000,3.29,,,,,29.71,50.820426,4.403106
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,4,2026-04-25T07:17:57.000Z,3.000,4.43,,,,,29.72,50.820426,4.403106
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,5,2026-04-25T07:17:58.000Z,4.000,5.58,,,,,29.74,50.820426,4.403106
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,6,2026-04-25T07:17:59.000Z,5.000,6.72,,,,,29.76,50.820408,4.403124
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,7,2026-04-25T07:18:00.000Z,6.000,7.87,,,,,29.78,50.82039,4.403124
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,8,2026-04-25T07:18:01.000Z,7.000,9.01,,85,,,29.79,50.82039,4.403142
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,9,2026-04-25T07:18:02.000Z,8.000,12.03,,85,105,,29.81,50.820372,4.403142
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,10,2026-04-25T07:18:03.000Z,9.000,15.04,,107,105,,29.82,50.820354,4.403142
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,11,2026-04-25T07:18:04.000Z,10.000,16.89,,107,105,,29.83,50.820336,4.40316
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,12,2026-04-25T07:18:05.000Z,11.000,18.74,,107,92,,29.83,50.8203,4.40316
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,13,2026-04-25T07:18:06.000Z,12.000,20.59,,167,92,,29.84,50.820282,4.403178
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,14,2026-04-25T07:18:07.000Z,13.000,23.41,,167,92,,29.84,50.820264,4.403196
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,15,2026-04-25T07:18:08.000Z,14.000,26.24,,146,88,,29.85,50.820228,4.403214
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,16,2026-04-25T07:18:09.000Z,15.000,28.12,,146,88,,29.85,50.82021,4.403232
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,17,2026-04-25T07:18:10.000Z,16.000,30,,146,88,,29.85,50.820192,4.40325
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,18,2026-04-25T07:18:11.000Z,17.000,31.88,,147,79,,29.86,50.820174,4.40325
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,19,2026-04-25T07:18:12.000Z,18.000,33.71,,147,79,,29.86,50.820156,4.403268
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,20,2026-04-25T07:18:13.000Z,19.000,35.53,,147,79,,29.86,50.82012,4.403268
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,21,2026-04-25T07:18:14.000Z,20.000,37.36,,153,77,,29.87,50.820102,4.403286
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,22,2026-04-25T07:18:15.000Z,21.000,40.88,,153,77,,29.87,50.820084,4.403304
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,23,2026-04-25T07:18:16.000Z,22.000,44.4,,160,77,,29.87,50.820048,4.403322
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,24,2026-04-25T07:18:17.000Z,23.000,46.35,,160,78,,29.88,50.82003,4.403358
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,25,2026-04-25T07:18:18.000Z,24.000,48.3,,160,78,,29.88,50.819994,4.403376
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,26,2026-04-25T07:18:19.000Z,25.000,50.25,,180,78,,29.88,50.819976,4.403394
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,27,2026-04-25T07:18:20.000Z,26.000,53.34,,180,76,2.086,29.88,50.819958,4.403412
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,28,2026-04-25T07:18:21.000Z,27.000,56.44,,178,76,2.211,29.89,50.819922,4.403412
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,29,2026-04-25T07:18:22.000Z,28.000,58.13,,178,76,2.285,29.89,50.819904,4.40343
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,30,2026-04-25T07:18:23.000Z,29.000,59.82,,178,76,2.31,29.89,50.819886,4.40343
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,31,2026-04-25T07:18:24.000Z,30.000,61.52,,175,76,2.283,29.89,50.819868,4.40343
2026-04-25,Running,Morning Jog,Morning jog on Saturday as I could not manage it during weekdays. I am still in two weeks timeline to practice short runs. My plan is to ramp up the distance gradually. Overall feel good after the run but also bit sleepy and more hungry.,2026-04-25_09-17-53_hk_1777101473.fit,32,2026-04-25T07:18:25.000Z,31.000,64.99,,175,76,2.303,29.9,50.819832,4.40343
