workout_date,workout_type,title,notes,source_file,record_index,timestamp,elapsed_seconds,distance_m,heart_rate,power,cadence,speed,altitude,latitude,longitude
2026-05-21,Running,Mental Recovery Run,"After a ten days pause in which I had so many downs including neck muscle spasm and tooth pain, I tried to finish one more run. From past few days my mind is foggy so I am not able to decide anything. I am unsure whether its vitamin deficiency or lack of sport. So this one is for mental recovery, in a hope that I will feel better.",2026-05-21_08-41-02_hk_1779345662.fit,1,2026-05-21T06:41:05.000Z,0.000,3.82,,,,,30.05,50.820534,4.40316
2026-05-21,Running,Mental Recovery Run,"After a ten days pause in which I had so many downs including neck muscle spasm and tooth pain, I tried to finish one more run. From past few days my mind is foggy so I am not able to decide anything. I am unsure whether its vitamin deficiency or lack of sport. So this one is for mental recovery, in a hope that I will feel better.",2026-05-21_08-41-02_hk_1779345662.fit,2,2026-05-21T06:41:06.000Z,1.000,5.73,,,105,,30.01,50.820534,4.40316
2026-05-21,Running,Mental Recovery Run,"After a ten days pause in which I had so many downs including neck muscle spasm and tooth pain, I tried to finish one more run. From past few days my mind is foggy so I am not able to decide anything. I am unsure whether its vitamin deficiency or lack of sport. So this one is for mental recovery, in a hope that I will feel better.",2026-05-21_08-41-02_hk_1779345662.fit,3,2026-05-21T06:41:07.000Z,2.000,7.64,,105,105,,29.98,50.820516,4.40316
2026-05-21,Running,Mental Recovery Run,"After a ten days pause in which I had so many downs including neck muscle spasm and tooth pain, I tried to finish one more run. From past few days my mind is foggy so I am not able to decide anything. I am unsure whether its vitamin deficiency or lack of sport. So this one is for mental recovery, in a hope that I will feel better.",2026-05-21_08-41-02_hk_1779345662.fit,4,2026-05-21T06:41:08.000Z,3.000,10.12,,105,105,,29.94,50.820498,4.403178
2026-05-21,Running,Mental Recovery Run,"After a ten days pause in which I had so many downs including neck muscle spasm and tooth pain, I tried to finish one more run. From past few days my mind is foggy so I am not able to decide anything. I am unsure whether its vitamin deficiency or lack of sport. So this one is for mental recovery, in a hope that I will feel better.",2026-05-21_08-41-02_hk_1779345662.fit,5,2026-05-21T06:41:09.000Z,4.000,12.61,,105,95,,29.92,50.82048,4.403178
2026-05-21,Running,Mental Recovery Run,"After a ten days pause in which I had so many downs including neck muscle spasm and tooth pain, I tried to finish one more run. From past few days my mind is foggy so I am not able to decide anything. I am unsure whether its vitamin deficiency or lack of sport. So this one is for mental recovery, in a hope that I will feel better.",2026-05-21_08-41-02_hk_1779345662.fit,6,2026-05-21T06:41:10.000Z,5.000,15.09,,150,95,,29.9,50.820444,4.403178
2026-05-21,Running,Mental Recovery Run,"After a ten days pause in which I had so many downs including neck muscle spasm and tooth pain, I tried to finish one more run. From past few days my mind is foggy so I am not able to decide anything. I am unsure whether its vitamin deficiency or lack of sport. So this one is for mental recovery, in a hope that I will feel better.",2026-05-21_08-41-02_hk_1779345662.fit,7,2026-05-21T06:41:11.000Z,6.000,18.69,,150,95,,29.88,50.820426,4.403178
2026-05-21,Running,Mental Recovery Run,"After a ten days pause in which I had so many downs including neck muscle spasm and tooth pain, I tried to finish one more run. From past few days my mind is foggy so I am not able to decide anything. I am unsure whether its vitamin deficiency or lack of sport. So this one is for mental recovery, in a hope that I will feel better.",2026-05-21_08-41-02_hk_1779345662.fit,8,2026-05-21T06:41:12.000Z,7.000,22.28,,169,90,,29.87,50.820408,4.403196
2026-05-21,Running,Mental Recovery Run,"After a ten days pause in which I had so many downs including neck muscle spasm and tooth pain, I tried to finish one more run. From past few days my mind is foggy so I am not able to decide anything. I am unsure whether its vitamin deficiency or lack of sport. So this one is for mental recovery, in a hope that I will feel better.",2026-05-21_08-41-02_hk_1779345662.fit,9,2026-05-21T06:41:13.000Z,8.000,24.13,,169,90,,29.87,50.820372,4.403196
2026-05-21,Running,Mental Recovery Run,"After a ten days pause in which I had so many downs including neck muscle spasm and tooth pain, I tried to finish one more run. From past few days my mind is foggy so I am not able to decide anything. I am unsure whether its vitamin deficiency or lack of sport. So this one is for mental recovery, in a hope that I will feel better.",2026-05-21_08-41-02_hk_1779345662.fit,10,2026-05-21T06:41:14.000Z,9.000,25.97,,169,90,,29.87,50.820354,4.403196
