workout_date,workout_type,title,notes,source_file,record_index,timestamp,elapsed_seconds,distance_m,heart_rate,power,cadence,speed,altitude,latitude,longitude
2026-05-03,training,Stretching and Yoga,"I was planning to go to run in the morning but its raining whole day so I was waiting for it to stop. Oops!!

Anyway I was feeling lazy so I decided to do indoor light exercise—a mix of rope jumping, yoga and stretching. Feeling good now. :)",2026-05-03_19-03-06_hk_1777827786.fit,1,2026-05-03T17:04:45.000Z,0.000,,154,,,,,,
2026-05-03,training,Stretching and Yoga,"I was planning to go to run in the morning but its raining whole day so I was waiting for it to stop. Oops!!

Anyway I was feeling lazy so I decided to do indoor light exercise—a mix of rope jumping, yoga and stretching. Feeling good now. :)",2026-05-03_19-03-06_hk_1777827786.fit,2,2026-05-03T17:04:46.000Z,1.000,,154,,,,,,
2026-05-03,training,Stretching and Yoga,"I was planning to go to run in the morning but its raining whole day so I was waiting for it to stop. Oops!!

Anyway I was feeling lazy so I decided to do indoor light exercise—a mix of rope jumping, yoga and stretching. Feeling good now. :)",2026-05-03_19-03-06_hk_1777827786.fit,3,2026-05-03T17:04:49.000Z,4.000,,154,,,,,,
2026-05-03,training,Stretching and Yoga,"I was planning to go to run in the morning but its raining whole day so I was waiting for it to stop. Oops!!

Anyway I was feeling lazy so I decided to do indoor light exercise—a mix of rope jumping, yoga and stretching. Feeling good now. :)",2026-05-03_19-03-06_hk_1777827786.fit,4,2026-05-03T17:04:51.000Z,6.000,,154,,,,,,
2026-05-03,training,Stretching and Yoga,"I was planning to go to run in the morning but its raining whole day so I was waiting for it to stop. Oops!!

Anyway I was feeling lazy so I decided to do indoor light exercise—a mix of rope jumping, yoga and stretching. Feeling good now. :)",2026-05-03_19-03-06_hk_1777827786.fit,5,2026-05-03T17:04:54.000Z,9.000,,154,,,,,,
2026-05-03,training,Stretching and Yoga,"I was planning to go to run in the morning but its raining whole day so I was waiting for it to stop. Oops!!

Anyway I was feeling lazy so I decided to do indoor light exercise—a mix of rope jumping, yoga and stretching. Feeling good now. :)",2026-05-03_19-03-06_hk_1777827786.fit,6,2026-05-03T17:04:55.000Z,10.000,,151,,,,,,
2026-05-03,training,Stretching and Yoga,"I was planning to go to run in the morning but its raining whole day so I was waiting for it to stop. Oops!!

Anyway I was feeling lazy so I decided to do indoor light exercise—a mix of rope jumping, yoga and stretching. Feeling good now. :)",2026-05-03_19-03-06_hk_1777827786.fit,7,2026-05-03T17:04:56.000Z,11.000,,150,,,,,,
2026-05-03,training,Stretching and Yoga,"I was planning to go to run in the morning but its raining whole day so I was waiting for it to stop. Oops!!

Anyway I was feeling lazy so I decided to do indoor light exercise—a mix of rope jumping, yoga and stretching. Feeling good now. :)",2026-05-03_19-03-06_hk_1777827786.fit,8,2026-05-03T17:04:57.000Z,12.000,,150,,,,,,
2026-05-03,training,Stretching and Yoga,"I was planning to go to run in the morning but its raining whole day so I was waiting for it to stop. Oops!!

Anyway I was feeling lazy so I decided to do indoor light exercise—a mix of rope jumping, yoga and stretching. Feeling good now. :)",2026-05-03_19-03-06_hk_1777827786.fit,9,2026-05-03T17:04:59.000Z,14.000,,150,,,,,,
2026-05-03,training,Stretching and Yoga,"I was planning to go to run in the morning but its raining whole day so I was waiting for it to stop. Oops!!

Anyway I was feeling lazy so I decided to do indoor light exercise—a mix of rope jumping, yoga and stretching. Feeling good now. :)",2026-05-03_19-03-06_hk_1777827786.fit,10,2026-05-03T17:05:02.000Z,17.000,,148,,,,,,
2026-05-03,training,Stretching and Yoga,"I was planning to go to run in the morning but its raining whole day so I was waiting for it to stop. Oops!!

Anyway I was feeling lazy so I decided to do indoor light exercise—a mix of rope jumping, yoga and stretching. Feeling good now. :)",2026-05-03_19-03-06_hk_1777827786.fit,11,2026-05-03T17:05:04.000Z,19.000,,148,,,,,,
2026-05-03,training,Stretching and Yoga,"I was planning to go to run in the morning but its raining whole day so I was waiting for it to stop. Oops!!

Anyway I was feeling lazy so I decided to do indoor light exercise—a mix of rope jumping, yoga and stretching. Feeling good now. :)",2026-05-03_19-03-06_hk_1777827786.fit,12,2026-05-03T17:05:06.000Z,21.000,,148,,,,,,
2026-05-03,training,Stretching and Yoga,"I was planning to go to run in the morning but its raining whole day so I was waiting for it to stop. Oops!!

Anyway I was feeling lazy so I decided to do indoor light exercise—a mix of rope jumping, yoga and stretching. Feeling good now. :)",2026-05-03_19-03-06_hk_1777827786.fit,13,2026-05-03T17:05:07.000Z,22.000,,148,,,,,,
2026-05-03,training,Stretching and Yoga,"I was planning to go to run in the morning but its raining whole day so I was waiting for it to stop. Oops!!

Anyway I was feeling lazy so I decided to do indoor light exercise—a mix of rope jumping, yoga and stretching. Feeling good now. :)",2026-05-03_19-03-06_hk_1777827786.fit,14,2026-05-03T17:05:09.000Z,24.000,,148,,,,,,
2026-05-03,training,Stretching and Yoga,"I was planning to go to run in the morning but its raining whole day so I was waiting for it to stop. Oops!!

Anyway I was feeling lazy so I decided to do indoor light exercise—a mix of rope jumping, yoga and stretching. Feeling good now. :)",2026-05-03_19-03-06_hk_1777827786.fit,15,2026-05-03T17:05:12.000Z,27.000,,150,,,,,,
2026-05-03,training,Stretching and Yoga,"I was planning to go to run in the morning but its raining whole day so I was waiting for it to stop. Oops!!

Anyway I was feeling lazy so I decided to do indoor light exercise—a mix of rope jumping, yoga and stretching. Feeling good now. :)",2026-05-03_19-03-06_hk_1777827786.fit,16,2026-05-03T17:05:15.000Z,30.000,,150,,,,,,
2026-05-03,training,Stretching and Yoga,"I was planning to go to run in the morning but its raining whole day so I was waiting for it to stop. Oops!!

Anyway I was feeling lazy so I decided to do indoor light exercise—a mix of rope jumping, yoga and stretching. Feeling good now. :)",2026-05-03_19-03-06_hk_1777827786.fit,17,2026-05-03T17:05:17.000Z,32.000,,150,,,,,,
2026-05-03,training,Stretching and Yoga,"I was planning to go to run in the morning but its raining whole day so I was waiting for it to stop. Oops!!

Anyway I was feeling lazy so I decided to do indoor light exercise—a mix of rope jumping, yoga and stretching. Feeling good now. :)",2026-05-03_19-03-06_hk_1777827786.fit,18,2026-05-03T17:05:18.000Z,33.000,,152,,,,,,
2026-05-03,training,Stretching and Yoga,"I was planning to go to run in the morning but its raining whole day so I was waiting for it to stop. Oops!!

Anyway I was feeling lazy so I decided to do indoor light exercise—a mix of rope jumping, yoga and stretching. Feeling good now. :)",2026-05-03_19-03-06_hk_1777827786.fit,19,2026-05-03T17:05:20.000Z,35.000,,152,,,,,,
2026-05-03,training,Stretching and Yoga,"I was planning to go to run in the morning but its raining whole day so I was waiting for it to stop. Oops!!

Anyway I was feeling lazy so I decided to do indoor light exercise—a mix of rope jumping, yoga and stretching. Feeling good now. :)",2026-05-03_19-03-06_hk_1777827786.fit,20,2026-05-03T17:05:22.000Z,37.000,,152,,,,,,
