workout_date,workout_type,title,notes,source_file,record_index,timestamp,elapsed_seconds,distance_m,heart_rate,power,cadence,speed,altitude,latitude,longitude
2026-04-28,Running,Morning Run,"I woke up at 6AM refresh, and went for run later. Feeling happy about it.

This is usually what I chase for—to do running very first thing in the morning.  But its hard to build routine. I am pushing to make it regular.

Also my VO2 max is increasing from below average to above average. Very happy about it as well.",2026-04-28_07-31-09_hk_1777354269.fit,1,2026-04-28T05:31:10.000Z,0.000,0.58,,,,,29.99,50.820516,4.403196
2026-04-28,Running,Morning Run,"I woke up at 6AM refresh, and went for run later. Feeling happy about it.

This is usually what I chase for—to do running very first thing in the morning.  But its hard to build routine. I am pushing to make it regular.

Also my VO2 max is increasing from below average to above average. Very happy about it as well.",2026-04-28_07-31-09_hk_1777354269.fit,2,2026-04-28T05:31:11.000Z,1.000,1.39,,,,,29.96,50.820516,4.403196
2026-04-28,Running,Morning Run,"I woke up at 6AM refresh, and went for run later. Feeling happy about it.

This is usually what I chase for—to do running very first thing in the morning.  But its hard to build routine. I am pushing to make it regular.

Also my VO2 max is increasing from below average to above average. Very happy about it as well.",2026-04-28_07-31-09_hk_1777354269.fit,3,2026-04-28T05:31:12.000Z,2.000,2.2,,,,,29.94,50.820516,4.403196
2026-04-28,Running,Morning Run,"I woke up at 6AM refresh, and went for run later. Feeling happy about it.

This is usually what I chase for—to do running very first thing in the morning.  But its hard to build routine. I am pushing to make it regular.

Also my VO2 max is increasing from below average to above average. Very happy about it as well.",2026-04-28_07-31-09_hk_1777354269.fit,4,2026-04-28T05:31:13.000Z,3.000,3.01,,,,,29.91,50.820498,4.403196
2026-04-28,Running,Morning Run,"I woke up at 6AM refresh, and went for run later. Feeling happy about it.

This is usually what I chase for—to do running very first thing in the morning.  But its hard to build routine. I am pushing to make it regular.

Also my VO2 max is increasing from below average to above average. Very happy about it as well.",2026-04-28_07-31-09_hk_1777354269.fit,5,2026-04-28T05:31:14.000Z,4.000,3.82,,,,,29.9,50.820498,4.403196
2026-04-28,Running,Morning Run,"I woke up at 6AM refresh, and went for run later. Feeling happy about it.

This is usually what I chase for—to do running very first thing in the morning.  But its hard to build routine. I am pushing to make it regular.

Also my VO2 max is increasing from below average to above average. Very happy about it as well.",2026-04-28_07-31-09_hk_1777354269.fit,6,2026-04-28T05:31:15.000Z,5.000,4.63,,,,,29.88,50.820498,4.403196
2026-04-28,Running,Morning Run,"I woke up at 6AM refresh, and went for run later. Feeling happy about it.

This is usually what I chase for—to do running very first thing in the morning.  But its hard to build routine. I am pushing to make it regular.

Also my VO2 max is increasing from below average to above average. Very happy about it as well.",2026-04-28_07-31-09_hk_1777354269.fit,7,2026-04-28T05:31:16.000Z,6.000,5.44,,,,,29.87,50.820498,4.403196
2026-04-28,Running,Morning Run,"I woke up at 6AM refresh, and went for run later. Feeling happy about it.

This is usually what I chase for—to do running very first thing in the morning.  But its hard to build routine. I am pushing to make it regular.

Also my VO2 max is increasing from below average to above average. Very happy about it as well.",2026-04-28_07-31-09_hk_1777354269.fit,8,2026-04-28T05:31:17.000Z,7.000,6.25,,183,,,29.86,50.820498,4.403196
2026-04-28,Running,Morning Run,"I woke up at 6AM refresh, and went for run later. Feeling happy about it.

This is usually what I chase for—to do running very first thing in the morning.  But its hard to build routine. I am pushing to make it regular.

Also my VO2 max is increasing from below average to above average. Very happy about it as well.",2026-04-28_07-31-09_hk_1777354269.fit,9,2026-04-28T05:31:18.000Z,8.000,8.79,,183,74,,29.85,50.82048,4.403214
2026-04-28,Running,Morning Run,"I woke up at 6AM refresh, and went for run later. Feeling happy about it.

This is usually what I chase for—to do running very first thing in the morning.  But its hard to build routine. I am pushing to make it regular.

Also my VO2 max is increasing from below average to above average. Very happy about it as well.",2026-04-28_07-31-09_hk_1777354269.fit,10,2026-04-28T05:31:19.000Z,9.000,11.32,,183,74,,29.85,50.82048,4.403214
2026-04-28,Running,Morning Run,"I woke up at 6AM refresh, and went for run later. Feeling happy about it.

This is usually what I chase for—to do running very first thing in the morning.  But its hard to build routine. I am pushing to make it regular.

Also my VO2 max is increasing from below average to above average. Very happy about it as well.",2026-04-28_07-31-09_hk_1777354269.fit,11,2026-04-28T05:31:20.000Z,10.000,13.86,,188,74,,29.85,50.820462,4.403232
2026-04-28,Running,Morning Run,"I woke up at 6AM refresh, and went for run later. Feeling happy about it.

This is usually what I chase for—to do running very first thing in the morning.  But its hard to build routine. I am pushing to make it regular.

Also my VO2 max is increasing from below average to above average. Very happy about it as well.",2026-04-28_07-31-09_hk_1777354269.fit,12,2026-04-28T05:31:21.000Z,11.000,16.81,,188,75,,29.85,50.820444,4.403232
2026-04-28,Running,Morning Run,"I woke up at 6AM refresh, and went for run later. Feeling happy about it.

This is usually what I chase for—to do running very first thing in the morning.  But its hard to build routine. I am pushing to make it regular.

Also my VO2 max is increasing from below average to above average. Very happy about it as well.",2026-04-28_07-31-09_hk_1777354269.fit,13,2026-04-28T05:31:22.000Z,12.000,19.75,,186,75,,29.85,50.820408,4.403232
2026-04-28,Running,Morning Run,"I woke up at 6AM refresh, and went for run later. Feeling happy about it.

This is usually what I chase for—to do running very first thing in the morning.  But its hard to build routine. I am pushing to make it regular.

Also my VO2 max is increasing from below average to above average. Very happy about it as well.",2026-04-28_07-31-09_hk_1777354269.fit,14,2026-04-28T05:31:23.000Z,13.000,22.08,,186,75,,29.85,50.82039,4.403232
