workout_date,workout_type,title,notes,source_file,record_index,timestamp,elapsed_seconds,distance_m,heart_rate,power,cadence,speed,altitude,latitude,longitude
2026-05-31,training,Postrun Stretching,Sunday is the best day to do it freely. Felt all muscles in my body.,2026-05-31_09-53-10_hk_1780213990.fit,1,2026-05-31T07:53:12.000Z,0.000,,124,,,,,,
2026-05-31,training,Postrun Stretching,Sunday is the best day to do it freely. Felt all muscles in my body.,2026-05-31_09-53-10_hk_1780213990.fit,2,2026-05-31T07:53:13.000Z,1.000,,124,,,,,,
2026-05-31,training,Postrun Stretching,Sunday is the best day to do it freely. Felt all muscles in my body.,2026-05-31_09-53-10_hk_1780213990.fit,3,2026-05-31T07:53:15.000Z,3.000,,125,,,,,,
2026-05-31,training,Postrun Stretching,Sunday is the best day to do it freely. Felt all muscles in my body.,2026-05-31_09-53-10_hk_1780213990.fit,4,2026-05-31T07:53:18.000Z,6.000,,126,,,,,,
2026-05-31,training,Postrun Stretching,Sunday is the best day to do it freely. Felt all muscles in my body.,2026-05-31_09-53-10_hk_1780213990.fit,5,2026-05-31T07:53:20.000Z,8.000,,126,,,,,,
2026-05-31,training,Postrun Stretching,Sunday is the best day to do it freely. Felt all muscles in my body.,2026-05-31_09-53-10_hk_1780213990.fit,6,2026-05-31T07:53:23.000Z,11.000,,126,,,,,,
2026-05-31,training,Postrun Stretching,Sunday is the best day to do it freely. Felt all muscles in my body.,2026-05-31_09-53-10_hk_1780213990.fit,7,2026-05-31T07:53:26.000Z,14.000,,126,,,,,,
2026-05-31,training,Postrun Stretching,Sunday is the best day to do it freely. Felt all muscles in my body.,2026-05-31_09-53-10_hk_1780213990.fit,8,2026-05-31T07:53:27.000Z,15.000,,124,,,,,,
2026-05-31,training,Postrun Stretching,Sunday is the best day to do it freely. Felt all muscles in my body.,2026-05-31_09-53-10_hk_1780213990.fit,9,2026-05-31T07:53:28.000Z,16.000,,124,,,,,,
2026-05-31,training,Postrun Stretching,Sunday is the best day to do it freely. Felt all muscles in my body.,2026-05-31_09-53-10_hk_1780213990.fit,10,2026-05-31T07:53:31.000Z,19.000,,121,,,,,,
2026-05-31,training,Postrun Stretching,Sunday is the best day to do it freely. Felt all muscles in my body.,2026-05-31_09-53-10_hk_1780213990.fit,11,2026-05-31T07:53:33.000Z,21.000,,121,,,,,,
