workout_date,workout_type,title,notes,source_file,record_index,timestamp,elapsed_seconds,distance_m,heart_rate,power,cadence,speed,altitude,latitude,longitude
2026-04-25,training,Postworkout Yoga,I have a habit of doing Yoga and stretching after every workout. My father encourage me to do it. Usually I do it in small sessions but the effect is very relaxing.,2026-04-25_09-42-37_hk_1777102957.fit,1,2026-04-25T07:43:38.000Z,0.000,,129,,,,,,
2026-04-25,training,Postworkout Yoga,I have a habit of doing Yoga and stretching after every workout. My father encourage me to do it. Usually I do it in small sessions but the effect is very relaxing.,2026-04-25_09-42-37_hk_1777102957.fit,2,2026-04-25T07:43:39.000Z,1.000,,129,,,,,,
2026-04-25,training,Postworkout Yoga,I have a habit of doing Yoga and stretching after every workout. My father encourage me to do it. Usually I do it in small sessions but the effect is very relaxing.,2026-04-25_09-42-37_hk_1777102957.fit,3,2026-04-25T07:43:42.000Z,4.000,,129,,,,,,
2026-04-25,training,Postworkout Yoga,I have a habit of doing Yoga and stretching after every workout. My father encourage me to do it. Usually I do it in small sessions but the effect is very relaxing.,2026-04-25_09-42-37_hk_1777102957.fit,4,2026-04-25T07:43:43.000Z,5.000,,131,,,,,,
2026-04-25,training,Postworkout Yoga,I have a habit of doing Yoga and stretching after every workout. My father encourage me to do it. Usually I do it in small sessions but the effect is very relaxing.,2026-04-25_09-42-37_hk_1777102957.fit,5,2026-04-25T07:43:44.000Z,6.000,,131,,,,,,
2026-04-25,training,Postworkout Yoga,I have a habit of doing Yoga and stretching after every workout. My father encourage me to do it. Usually I do it in small sessions but the effect is very relaxing.,2026-04-25_09-42-37_hk_1777102957.fit,6,2026-04-25T07:43:45.000Z,7.000,,132,,,,,,
2026-04-25,training,Postworkout Yoga,I have a habit of doing Yoga and stretching after every workout. My father encourage me to do it. Usually I do it in small sessions but the effect is very relaxing.,2026-04-25_09-42-37_hk_1777102957.fit,7,2026-04-25T07:43:47.000Z,9.000,,132,,,,,,
2026-04-25,training,Postworkout Yoga,I have a habit of doing Yoga and stretching after every workout. My father encourage me to do it. Usually I do it in small sessions but the effect is very relaxing.,2026-04-25_09-42-37_hk_1777102957.fit,8,2026-04-25T07:43:49.000Z,11.000,,133,,,,,,
2026-04-25,training,Postworkout Yoga,I have a habit of doing Yoga and stretching after every workout. My father encourage me to do it. Usually I do it in small sessions but the effect is very relaxing.,2026-04-25_09-42-37_hk_1777102957.fit,9,2026-04-25T07:43:52.000Z,14.000,,133,,,,,,
2026-04-25,training,Postworkout Yoga,I have a habit of doing Yoga and stretching after every workout. My father encourage me to do it. Usually I do it in small sessions but the effect is very relaxing.,2026-04-25_09-42-37_hk_1777102957.fit,10,2026-04-25T07:43:54.000Z,16.000,,132,,,,,,
2026-04-25,training,Postworkout Yoga,I have a habit of doing Yoga and stretching after every workout. My father encourage me to do it. Usually I do it in small sessions but the effect is very relaxing.,2026-04-25_09-42-37_hk_1777102957.fit,11,2026-04-25T07:43:57.000Z,19.000,,132,,,,,,
2026-04-25,training,Postworkout Yoga,I have a habit of doing Yoga and stretching after every workout. My father encourage me to do it. Usually I do it in small sessions but the effect is very relaxing.,2026-04-25_09-42-37_hk_1777102957.fit,12,2026-04-25T07:43:59.000Z,21.000,,131,,,,,,
2026-04-25,training,Postworkout Yoga,I have a habit of doing Yoga and stretching after every workout. My father encourage me to do it. Usually I do it in small sessions but the effect is very relaxing.,2026-04-25_09-42-37_hk_1777102957.fit,13,2026-04-25T07:44:00.000Z,22.000,,131,,,,,,
2026-04-25,training,Postworkout Yoga,I have a habit of doing Yoga and stretching after every workout. My father encourage me to do it. Usually I do it in small sessions but the effect is very relaxing.,2026-04-25_09-42-37_hk_1777102957.fit,14,2026-04-25T07:44:02.000Z,24.000,,131,,,,,,
2026-04-25,training,Postworkout Yoga,I have a habit of doing Yoga and stretching after every workout. My father encourage me to do it. Usually I do it in small sessions but the effect is very relaxing.,2026-04-25_09-42-37_hk_1777102957.fit,15,2026-04-25T07:44:04.000Z,26.000,,130,,,,,,
2026-04-25,training,Postworkout Yoga,I have a habit of doing Yoga and stretching after every workout. My father encourage me to do it. Usually I do it in small sessions but the effect is very relaxing.,2026-04-25_09-42-37_hk_1777102957.fit,16,2026-04-25T07:44:05.000Z,27.000,,130,,,,,,
